avgAnnCount,avgDeathsPerYear,PctBachDeg25_Over,PctPrivateCoverage,medIncome,PctUnemployed16_Over,PctHS25_Over,TARGET_deathRate,povertyPercent
89,32,18,83.4,61802,3.5,29.5,152.3,8.2
29,15,17.2,64.9,40351,1.4,31.1,169.9,16
20,10,10,75.6,43883,3.1,42.3,187.4,12.1
16,10,14.2,76.1,55955,2.6,35,138.2,9.2
40,13,14.8,74,49517,1.7,37,120.2,10.7
30,14,9.2,39.9,41344,14.4,35.5,215,34
24,12,14.5,70.5,44726,1.4,42.6,156.3,12.3
104,39,22.6,82.4,69191,1.4,31.1,159.2,7.4
39,15,25.8,82.7,53290,3,20.5,142.1,13.6
31,12,12.9,69.1,40979,4.7,36.1,162.7,12.7
72,33,19,77.4,51335,2,32.6,164.7,10.6
1962.667684,62,10.9,63,46840,11.9,35,211,13.2
1962.667684,3120,15.1,62.9,51241,10.8,28.8,167.7,15.6
1962.667684,108,16.4,70.7,60322,8.5,24.7,145.2,10.3
1962.667684,55,12.3,73,72648,5.5,26.8,143.2,10.8
1962.667684,4,12.6,56.5,47180,11.9,43.2,262.1,14
1962.667684,4,14.2,76.4,70535,4.7,35.8,178.7,9.8
1962.667684,27,8.8,69.4,67423,7.8,37.4,191.5,10.7
1962.667684,7,4.7,69.1,74347,12,37.5,123.8,11
1962.667684,9,15.9,64.1,45629,11.8,32.1,127.4,15.1
1962.667684,124,11.1,61.1,48576,13.6,30.2,195.7,13.7
1962.667684,20,6.8,58.1,40714,15.4,31.2,254.3,19
1962.667684,154,9.2,53.1,42881,13.4,35.6,213.5,16.8
1962.667684,9,7.5,59.9,52001,9.5,35.4,121.8,18.5
1962.667684,7,14.1,68.5,55291,10.3,29.5,132.6,8.4
1962.667684,727,18.2,65.4,52862,9.1,24,166,15.4
1962.667684,23,8.8,67.6,57243,10.6,34.5,188.4,13.7
1962.667684,145,12.8,61.3,45639,11.3,28.6,193.5,19.3
411,151,19.1,69.6,59831,5.3,31.5,182.6,10
360,133,20,70,57556,5.8,31.4,168.8,10.7
452,156,19.4,75,56008,6.1,33.8,162.8,11.8
223,93,11.7,61.8,42491,6.9,39.1,181.6,14.9
487,178,20.2,72.3,56353,5,28.6,155,11.6
2075,694,23,76.7,71233,5.9,27.2,163.2,8.7
879,309,21.5,76.3,62429,5.2,28.4,173.1,9.5
1758,570,24.6,82.7,79653,5.6,26.9,172.2,6.1
643,227,21.1,74.8,58577,6.5,28,177.6,11.8
273,102,16.4,69.6,57142,5.8,37,171.9,10.4
1624,584,17,66.9,54208,12.5,32.9,179.5,15.1
5164,1722,29.5,75.5,84309,6.5,24.3,147.3,7.6
2768,914,23.3,81.4,80479,8.5,29.5,171.6,7.2
2963,1039,19.4,68.3,61685,10.2,31.3,182.8,13
847,314,19.5,72.1,55409,10,34.1,193.1,13
847,317,10.5,59.4,45438,11.1,39.4,189.6,19.5
3553,1272,19.8,59.9,54603,13,28.7,161.8,16.7
1691,602,19.9,78,78983,9.2,34.3,193.5,8.2
2353,876,23.8,56.5,57720,9.3,26.1,152.6,17.7
731,210,29.3,87.5,103876,5.9,22.7,145.1,4.7
1997,648,20.7,73.1,73750,9.4,25.6,160.3,11.8
3980,1357,24.5,74.6,77330,7.5,26.3,156.7,8.3
3887,1269,26.1,78.8,87220,7.9,25.6,168.6,8.2
2795,884,29.8,84,100511,6.3,22.5,150.3,5
4355,1607,18,70.9,62937,8.8,36.1,174.2,11.9
2305,827,17.1,55.8,58030,8.6,34.8,159.1,18.2
415,164,14.3,69.1,56645,10.6,38.6,194.8,13.1
1673,549,29.2,82.2,100194,6,21.9,153.3,5
822,281,23.2,80.9,82048,8.2,31,176.4,6.2
2663,909,19.7,65.9,68172,9.8,29.7,155.6,11.1
623,227,19.7,76.9,71294,9,34,175.1,8.3
2820,1031,17.9,58.5,47192,8.4,23.8,147.1,18.7
28,10,14.8,62.3,33256,4.6,36.3,164.7,22.2
272,123,11.9,49.6,38403,7.6,27,164.5,23.4
109,42,8.4,40.4,35081,15.3,36.5,146.5,28.8
76,30,14.9,57.1,37156,9.5,33.9,139.9,20.5
153,66,12.6,56.9,42620,9.1,25.2,143.8,19.2
14,8,6.8,53.4,33789,5.2,42.9,243.6,20.6
799,319,16.2,49.6,38974,11.5,22,150.8,27.9
239,107,10.7,62.3,57007,5.8,34,170.8,14.1
166,76,12.8,57,38221,9.7,26.9,159.4,19.1
21,8,7.8,60.6,29147,1.2,40.2,142.8,25.8
22,11,9.3,42.7,34304,12.2,31,166.3,24.5
214,99,8.1,55.6,58994,5.9,30.5,166.2,16.6
117,41,19.5,54.5,39995,7.3,26.6,123.4,20.1
94,27,24.9,89.6,108477,3.5,10.8,114.5,4.2
144,64,6.9,37.5,27268,13.8,31.6,,30.6
205,82,6.7,25,29497,15.5,33.1,,35.8
25,10,6.8,27.8,27627,5.4,35.6,,24.2
286,122,9,53.2,41736,12.7,29.5,,20.2
56,27,9.1,54.8,29069,5,38.8,,23.9
164,71,10.6,48.8,34902,11.4,31.8,,24.1
68,32,12.8,54.7,36108,9.7,25.3,,24
564,188,16.6,63.8,56142,9.2,25.9,,12.6
435,166,9.1,50.4,47520,9.2,32.1,,21
125,57,10.5,46.4,32964,6.4,28.4,,25.5
691,231,20.4,60.1,52628,7.9,21.4,,14.2
100,47,12.3,50.8,29036,6.8,33.7,,23.8
84,34,10.6,50.5,32285,7.3,33.4,,31
154,62,16.9,47.3,36125,10.7,25.4,,19.2
108,32,10.4,42,37311,11.2,34.2,,27.6
18,9,11,48.2,36684,2.1,35.3,,19.4
334,133,10.8,52.6,40591,12.4,31.9,,24.5
1775,637,20.1,77.7,60371,6.4,26.5,,13.5
282,105,9.8,67.8,42655,9.2,38.7,,18.3
5834,2059,12.3,43.1,33687,14,27.3,,31.5
1235,442,15,69.2,46283,7.8,32.2,,17.2
515,171,10.3,67.3,43892,8.2,40.9,,16.2
465,163,12.5,71,52792,7.3,34.1,,12.7
950,315,11.3,66.5,41757,7.8,35.5,,19.3
559,214,12.8,68.8,48880,5.4,35.6,,18.2
337,121,9.5,66,46387,7.1,39.2,,16.7
335,155,7.3,59.8,34842,10,34.1,,20.5
12,5,14.6,69.4,38636,1.1,38.6,,14.6
205,88,17.3,76.5,64350,8.3,27.7,,10.2
410,159,26.5,81.1,75926,5.1,21.1,,7.9
38,18,12.5,65.7,46331,5.5,41.1,,14.8
108,41,19,83.5,76206,7.4,30.3,195.7,7.5
90,32,12.5,75.6,64305,5.4,39.4,187.4,8.8
101,48,15.3,71,45827,7.9,32.8,190.6,13.7
107,73,7.6,52.5,31429,12,33.6,224.2,26.6
862,283,34.8,86.9,122641,4,13.8,136.5,3.9
183,77,13,,60121,8.1,37,191,11.5
70,33,8.1,,37548,7.3,34.9,189.8,22.4
84,31,14.4,,52513,6.6,36.4,169.8,12.3
72,27,16.2,,58268,3.3,33.3,157.1,10.6
216,109,9.8,,38500,6.9,32.5,213.7,21.1
100,43,15.3,,48921,6.3,32.5,206.9,14.4
309,120,23.2,,43484,5.6,21.8,153.3,24.8
120,44,14.4,,48076,5.7,33.6,194.3,13.4
94,39,16.7,,72406,6.1,33,201.4,6.2
103,48,14,,36822,9.5,34.2,227.1,21.5
107,49,16.1,,51422,8.7,31.1,190.5,14.3
106,44,10.5,,37996,10.8,37.1,201.5,24.3
225,82,15.2,,59282,7.9,34.7,177.3,10.7
137,65,8.1,,44851,9.3,42.9,199.2,16.9
97,52,8,,34885,8.3,36,178.3,21.9
346,156,9.4,,44207,7.7,35.3,176.8,14.6
145,52,19.3,,75539,4.9,28.6,175.1,7.1
99,48,12.4,,37543,7,34.6,188.8,25.5
155,59,14,,61792,10.6,33.4,172.1,10.5
1142,407,23.2,,91886,5.4,21.7,150.1,7.2
189,91,11.4,,46186,7.4,34.2,185.8,14.7
44,17,19.9,68.1,62800,2.9,25.6,149.6,9.3
57,22,8.8,70.6,42204,8.7,40.2,176.2,19.7
493,204,22.7,79.6,61935,5.1,26.4,155.9,8.2
115,58,13.8,69.3,48497,4.1,36.3,159.2,13
378,157,14.4,72.9,55798,5.4,35.5,156.1,
137,81,8,56.7,37378,8,36.7,212,
110,69,8.1,62.7,36290,9.4,36.2,196.1,
235,104,12.2,68.9,45430,6,39.5,171.4,
171,92,9.2,59.2,37831,6.4,38.8,202.4,
97,43,10.1,66.8,46521,7.2,34.8,181.8,15.3
518,191,17.9,78.3,75714,6.2,31.7,172.5,9.2
460,160,22.2,84.1,92647,5.5,23.7,175.6,5.9
40,17,15.4,65.2,48707,10.7,29.2,182.2,12.9
72,30,5.5,66.2,37748,6.9,40.3,208.4,23.9
224,127,8.5,59,38292,8,35.8,208.1,19.2
178,84,13.9,75.2,60714,,36.6,202.5,11.3
312,136,14.4,67.4,43353,,32.9,176.7,14.5
121,49,11.5,64.7,48232,,36.3,179.9,15
176,106,9,59.7,38528,,32.4,223.4,21.9
171,71,9.8,63.9,41132,,36.4,175.9,15.6
272,103,22.8,87.2,81169,,19.6,152.3,5.5
405,165,29.8,76.4,86419,,12.1,135.4,9.6
64,58,16.1,57.3,34099,10.7,32.8,226.6,21.8
46,19,11,59.9,38331,7.3,40.5,240.8,17.2
250,60,23.3,76.1,45890,4.3,22.2,178.2,25.9
995,378,18.8,77.9,,7.5,26.5,182.2,9.8
117,43,13.7,74.6,,8.3,35.2,159.3,11.5
320,130,11.3,57.2,,12.7,28.1,207.4,23.6
55,16,34.4,92.3,,4.2,,137.6,3.2
51,25,16.1,59.4,,13.7,,221.7,22.5
120,39,21.2,71.3,,8.9,,180.3,16.8
709,270,14.9,69.5,47615,9.8,,190.3,15.2
190,51,20.6,72.8,38541,6.5,,150.5,28.3
139,65,8.1,62,40122,12.8,,244.9,19.5
391,165,19.9,69.1,40065,8,,194.5,25
108,41,17.6,69.1,72510,7.5,26,155.2,9.8
773,321,,68.8,48440,9.1,28.2,191.9,16.7
985,393,,63,42567,10.9,26.9,193.6,23.4
22,9,,59.8,31620,11.1,19.4,197.3,21.6
249,88,,53.1,32749,13,34,224.4,25.8
67,24,,87.7,84213,4.5,27,159.2,5.9
489,229,,62.4,43045,11.6,28.9,218.1,18.3
51,21,,76.1,34267,8.8,22.6,193.1,32.4
948,406,,59.3,42074,10,23,200.2,25
576,235,14.8,59.2,40735,8.3,30.4,201.2,20.4
162,63,17.1,75.1,54195,4.8,29.8,186.6,10.2
181,64,18.8,68.4,42552,5.6,30.9,176.1,16.5
406,169,16.4,73.4,60735,8,28.3,199.3,13.6
1825,688,22.2,80,67676,6.1,22.4,168.1,8.6
157,58,11.7,61.7,44843,4.9,38.5,210.5,14.6
135,23,27.1,83.3,46954,8.5,15.5,162.1,20.1
117,59,15.3,65.6,44537,6.7,30.4,192.8,13.4
54,21,9.1,45,47423,9.6,25.9,135.7,19
112,60,12.9,64.1,44055,9.6,30.5,188.3,16.3
814,296,18.3,66.6,58750,6.9,24.4,163.9,14.6
399,144,15.2,64.3,49174,7.5,30.1,154.7,14
575,235,14.8,63.5,47185,9.9,27.9,181.3,16.2
1859,771,17.8,69.8,61747,8.6,25.3,178.2,9.9
30,14,16.3,60.7,45465,10.4,27.5,194.4,15.5
571,240,9.8,62.3,44235,10.7,30.9,184.1,20.6
194,70,12.8,55.3,51151,6.5,27.7,157.4,15.5
41,19,11.5,50.6,39992,12.2,31.2,161.1,22.4
230,86,10.5,52.7,55006,7.2,27.3,163.5,17.3
11,4,19.6,62.8,46404,7.4,29.4,115,14.2
362,149,10.7,49.9,50388,10.1,26.8,173.1,15.8
489,189,9.9,56.7,43205,14.3,32.1,194.6,19.6
505,165,20.6,75.7,59358,9,23.3,143.5,10.3
273,91,21.5,66,50964,9.5,23.2,154.9,14.1
8999,2939,29.6,75.8,75738,6.3,16.5,152.7,11.3
187,79,11.8,65.2,38989,11.7,37.8,170.7,19.9
211,94,7.7,55.6,34655,13.2,39.3,203.8,24.5
286,125,19.1,80.6,60650,6.5,27.9,149.1,10
88,40,11.1,65.3,41101,12,35.4,178.6,16.5
204,101,13.6,66.5,43338,9.2,35.3,178.5,14.8
136,70,15,71.2,45174,7,39.9,172.2,14.4
523,229,16.1,76.5,57088,7.8,29.7,178.6,9.8
211,76,20.2,71.7,50191,8.4,26.2,168,11.6
2484,940,12.1,63.5,41787,13.2,32.8,192.1,21.5
195,83,7.6,61.6,39721,11,40.2,196.5,18.5
84,55,12.3,61,33600,9.5,38.4,195.2,20.9
551,168,18.9,73,55592,6.6,26.9,151.8,9.7
219,86,8.6,68,43509,8.5,41.1,168.3,18.5
230,111,9.6,65,44780,9,40.2,187.5,16.6
153,67,19.2,71.6,39126,7.2,33.8,155.4,18.7
228,100,9.5,69.4,41678,7.8,44.3,181.6,14.1
1352,435,20.4,72.7,45840,9,21.6,165.5,20.1
275,110,10.6,69.1,48681,10.4,38.1,173,15.2
186,93,10,61.4,37122,12.1,40,193.4,19
72,41,13.6,64.1,35961,9,45,167.6,17.3
260,105,15.5,72.6,42431,11.3,31.8,180.1,28.3
883,372,13.7,67.9,46670,10.3,34.8,193.8,15.4
1199,454,21,73.4,46283,9.1,23.1,171,18.9
103,45,8.2,60.6,40709,10.4,42.4,200.7,17.4
2809,965,21.8,72.2,53342,7.7,25.5,160.2,15.3
12,5,13.5,66.2,40411,7,32.6,113.5,12.7
78,42,5.6,51,30990,13.2,41.5,213.1,29.2
492,189,11.2,74.7,51510,10.5,37.1,186.7,11.1
138,54,22.3,75.8,60622,7.1,22.4,132.5,8.9
512,217,12.7,71.5,48194,8.6,36.7,177.6,14.5
855,316,22.2,83.2,74341,5.9,25.6,162.7,6.1
33,16,8.6,59.5,37590,11.6,45,175.3,20.6
75,31,11.9,63.4,39359,12.5,36.5,160.3,15.4
4974,1809,15.2,73.6,54865,9,30.6,177.8,12.3
186,72,12.3,65.4,37477,11.5,37.3,180,16.6
343,141,19.1,73.2,44735,8.1,33.1,168.7,15.4
144,82,12.6,64.3,42896,10.7,34.4,190.2,16.3
222,89,13.6,67.9,41572,12.2,34.4,177.2,23
108,70,11.3,66.3,42191,8.5,42.2,185,14.5
436,160,19.4,76.5,51629,8.5,29.6,154.4,11.9
84,39,8.8,61.4,40455,11,42.8,190.2,16.1
652,325,12.2,77,57719,8.3,36.2,182.8,10.4
348,137,8.7,64.9,41554,11.2,39,184.5,20.4
88,37,6.8,60.8,37961,16,41.9,207.6,15.7
975,379,12.6,64,42588,11.9,34.8,189.2,20
236,120,9.3,62.4,41588,10.1,41.1,197,21
6825,2231,25.4,79,69378,7.5,20.1,159.6,10
128,54,10.6,61.3,41166,8.7,34.7,153.3,20.1
134,62,7.5,60.1,35968,12.4,40.9,177,21.4
49,22,10.8,63.6,35387,13.7,40.6,171.1,17.8
165,60,8.7,59.7,40235,10.3,44.7,193.7,20.4
59,30,6.7,57.4,33975,13.2,40.6,199.5,20.5
145,64,13.5,68.4,44693,8.2,36.6,194.7,13.2
1060,384,20.9,80.2,60577,6.1,28.9,142.2,9.1
99,44,10.6,70,39420,13.1,40.6,171.8,16.1
228,97,9.1,60.7,35002,14.2,38.9,201.8,20.7
1160,439,13.6,67,44548,11.1,34.2,175.3,17.4
953,382,11,71.2,50303,10.4,35.3,189.5,13.8
293,134,9,66.2,43687,8.6,38.9,178.9,18.5
209,102,7.8,63.8,42081,10.7,45.1,170.6,14.7
54,29,9.3,60,39539,15.6,46.8,213.7,17.6
421,157,10.3,70.7,47882,10.3,36.6,184.9,15.3
323,131,9.4,68,43186,9.3,42,181.9,15.6
385,168,12.6,62.7,46715,8.4,34,188.2,16.5
1490,494,25.4,82.2,62861,7.4,15.7,157,14.3
10411,3927,13.4,58.4,41434,14.9,30.3,197.9,24.1
212,84,11.4,63.4,39807,9.5,38.8,199.2,19
1962.667684,50,10.8,66.3,40676,7.3,39.9,164.1,14.9
1962.667684,497,20,79.3,70868,6.2,28.4,167.9,7.6
1962.667684,86,15.6,66.7,51116,3.5,33.5,189.3,14.6
1962.667684,79,17.4,58.6,43706,10.6,26.1,162.6,18.5
1962.667684,63,15.2,71.5,52531,6.7,32.1,155.3,13.6
489,169,11.9,72.6,51576,6.9,35.3,182.1,16.6
418,159,14.4,73.1,55047,6.7,30.7,171.5,11.6
282,100,13.4,75.3,48357,6.1,34.7,181.4,13.8
320,116,11.5,66.8,45860,9.5,38.7,160.7,14.4
1662,569,18.3,76.3,70925,8.7,27,164.8,10.2
6146,2183,17.3,71.9,50134,7,28.4,183.3,15.2
255,97,13.4,70.8,50182,7.9,34.5,164.5,12
274,105,9,64.6,45704,8.8,36.2,180.9,18.5
354,134,8.7,64.2,45409,9.3,38.5,183.4,17.8
388,141,12,73.2,52410,6.7,37.2,181.6,12
338,128,12.2,70.6,52597,9.1,36.3,187.3,11.1
45,17,13.8,73.1,49137,9.7,32.3,194.2,11.4
404,134,13.1,65.8,44148,8.7,34.5,150.9,16.5
554,196,11.8,69.7,49781,10.6,33.5,177,15.1
11217,3824,20.1,51.4,47547,10,26.2,153.8,23.4
154,59,8.7,68.3,47542,8.3,45.3,173.6,14.3
345,133,13,76.5,49920,5.4,33.7,172,14.7
428,150,14.8,74.1,51600,5.1,33.7,174.2,11.8
4243,1507,20.3,73.1,51371,7.7,25,169.5,14.2
326,115,10.1,61.4,40923,8.9,36.6,170.1,18.9
8450,2549,23.7,79.6,98312,6.4,24.2,145.8,6.7
8072,2584,31.6,67.3,75459,7.5,12.6,145.2,17.7
1385,506,13.6,72.9,49274,7.6,35.1,177.1,13.4
1470,542,13.9,66.4,48350,7.4,33.4,173.9,17.7
2820,1011,19,73.1,52892,7.2,26.2,180.4,16.1
657,228,17.2,75.4,58473,6.4,28.3,162.9,11.5
1860,628,17.2,71.9,69228,7.3,29.3,173.6,13.4
252,95,9.6,67.8,46577,9,39.8,184.2,15.5
34,15,8.4,57.4,36891,12.7,35.2,205,21.9
828,313,17.7,69.1,54026,9.8,28.1,181,12.7
213,84,17.5,65.1,38130,6.2,27.6,177.2,23.5
745,288,14.8,64.1,50055,8.9,30.4,184.9,15.3
65,30,8.1,54.9,38928,11.6,31.2,205.2,22.2
298,119,14.7,59,46073,10.3,26.4,182.2,18.5
398,150,8.8,53.2,35991,13.1,31.8,194,22.1
412,147,14.3,64.8,49676,10.2,30.4,165.7,16
279,107,9.4,57.9,37881,11.1,36.9,181.8,17.6
243,93,14.9,55.4,37884,7.3,29.8,161.4,18.1
117,42,12.9,61.8,38445,7.3,31,143.7,19.9
164,61,9.9,55.2,35930,14.7,37.6,177,19.7
3590,1216,28.4,67.9,59049,8.9,19.1,158.6,15.2
105,45,11,61.8,36795,8.6,33.5,180.9,19.2
154,54,10.6,51.5,38530,10.5,30,153.3,21.1
648,240,19.7,66.3,51650,8,25.8,160.3,15.5
511,215,13.6,59.8,43348,11.9,33.9,189,18.2
1007,387,24.7,70,49905,8.9,22.1,164,18
145,61,7.2,50.3,32063,15.9,35.9,189.9,25.8
588,206,13.5,73.1,47201,11.6,28.9,179.9,14.3
540,183,25.4,79.3,60304,6.4,15.6,157.3,14.1
107,33,12.7,61.4,43097,9.7,32.2,151.3,17.9
214,93,12.3,62.9,44596,10.1,29.9,203.9,18.8
298,112,14,63.1,45453,9.8,31.2,169.8,15.4
82,33,12.3,58.3,41328,12.7,35,159.5,17.1
230,98,11.3,60,45841,11.9,35.5,198.1,18.7
689,255,19.1,66.2,41765,12.1,25.2,171.8,23.4
144,58,18.6,68,45464,8.8,27.2,156.1,14.7
823,293,10.6,59.2,41770,9,35.1,177.5,16.7
265,113,8.9,48.7,34665,13.8,36.5,205.3,24.7
554,253,9,43.4,30414,12.1,33.5,193,33.1
622,237,9.8,61,39606,10.5,36.5,194.3,19.4
822,315,12.3,59.1,44973,11.5,32.8,189.8,18
401,163,10.4,53.4,35629,12.2,31.8,174.8,21.5
333,136,9,51.2,33876,10.4,33.2,183.6,29
203,80,10.1,47.7,32782,15.5,34,189.6,28.9
370,138,11.4,64.3,41921,12.2,34.3,180.6,16.5
280,114,10.2,65.2,45065,9.3,38.1,184.5,13.8
453,196,10,58,37915,6.9,31.1,198.1,18.9
93,39,10.7,51.9,34788,7.7,31.2,215.3,19.3
225,85,17.4,62.8,44490,6.9,28.4,137,16.2
24,13,3.9,50.1,32773,14.1,37.1,222.3,28.3
783,273,24.1,74.3,64381,7.7,25.2,158.6,10.8
257,106,8.2,50.1,33609,12.2,37.6,198.5,27
3500,1126,31.2,75.9,66950,6.4,16.8,155.3,11.5
132,57,9.3,51.7,33869,10.7,34.8,185.4,22.8
83,33,6.1,53.1,32867,15.5,38,167.9,26.8
207,69,21.2,77.7,41942,9.5,20.4,136,26.2
611,258,13,58.7,36890,12.4,29.7,191.3,23.3
404,173,9.1,58.3,33398,11.7,32.2,183.5,23.4
431,193,12.6,56.4,39268,10.1,33,199.1,23.9
219,89,8.4,60.3,40801,8.3,34.3,179.7,17.2
134,49,12.9,57.2,35974,11,33.2,178.6,20.6
17,6,18.1,78.8,45710,1.2,35.1,140,10.2
76,31,19.4,81.6,52376,2.4,31.3,173.1,10.3
32,12,10.8,47.6,39342,6.1,32.5,169.9,29.9
43,19,16.4,79.7,56965,2.6,31.3,174.1,9.7
22,12,16.7,86.2,60946,1.8,30,209.3,7.4
14,5,14.1,79.6,62875,2.3,30.8,166.8,8.3
403,137,23.5,83.5,66734,2.3,24.5,141.6,8.2
622,198,25.8,81.5,53755,3.2,20.6,143.4,11.3
28,13,13.9,86.6,54057,0.8,27.6,170.7,9
26,12,20.5,82.7,51817,1.5,28.7,126,11.7
11,4,18.6,83.4,67344,0.7,34.3,93.8,8.3
17,7,15.4,66.8,72018,4.3,34.3,127.1,9.5
20,10,18.1,75.6,47596,1.9,28.7,227.6,10.7
